name,star,room1_price,room2_price,address,longitude,latitude,hotel_description,room1_name,room1_description,room1_maxOccupancy,room1_totalQuantity,room2_name,room2_description,room2_maxOccupancy,room2_totalQuantity,email
신라스테이 강남,4,328000,364000,서울특별시 강남구 역삼동 675,127.04906,37.503724,"세련된 디자인과 편안한 객실을 갖춘 비즈니스 호텔입니다.
강남 중심에 위치해 비즈니스와 관광 모두에 적합합니다.
모던한 객실과 피트니스, 레스토랑 등 실용적인 시설을 제공합니다.
코엑스와 가로수길 등 주요 명소로 이동이 편리합니다.
합리적인 가격과 안정적인 서비스가 강점입니다.",스탠다드 룸,여유로운 공간에 두 개의 푹신한 싱글 침대가 준비되어 있습니다. 친구나 동료와 함께하는 여행에서도 각자의 편안한 수면을 보장하는 쾌적한 객실입니다,2,5,수피리어 퀸룸,모던한 인테리어와 넓은 킹 사이즈 침대가 완벽한 휴식을 선사합니다. 강남의 역동적인 도심 뷰와 함께 루프탑 수영장 이용 혜택으로 특별한 시티 바캉스를 즐겨보세요,2,5,shillastaygangnam@gmail.com
글래드 강남,4,280000,290000,서울특별시 강남구 삼성동 159-8,127.060196,37.509569,"감각적인 디자인과 실용적인 공간이 돋보이는 호텔입니다.
교통이 편리해 강남 주요 지역으로 쉽게 이동할 수 있습니다.
모던한 객실과 편안한 침구로 쾌적한 숙박을 제공합니다.
주변에 다양한 식당과 편의시설이 있어 이용이 편리합니다.
도심 속에서 편안한 휴식을 즐기기에 좋은 숙소입니다.",이그제큐티브 시티뷰 트윈,아늑하고 편안한 휴식을 제공하는 베이직 객실입니다. 합리적인 가격에 쾌적한 침구와 꼭 필요한 편의 시설을 모두 갖추고 있어 실속 있는 여행에 적합합니다,2,5,슈페리어 더블,여유로운 공간에 두 개의 푹신한 싱글 침대가 준비되어 있습니다. 친구나 동료와 함께하는 여행에서도 각자의 편안한 수면을 보장하는 쾌적한 객실입니다,2,5,glad@gmail.com
도미인 강남,3,190000,230000,서울특별시 강남구 역삼동 713-10,127.039819,37.501562,"깔끔한 서비스와 편안한 분위기가 인상적인 호텔입니다.
강남 중심에 위치해 관광과 비즈니스 모두에 적합합니다.
대욕장과 사우나 등 휴식을 위한 부대시설을 갖추고 있습니다.
조식과 야식 서비스로 투숙의 만족도를 높여줍니다.
청결한 객실과 친절한 응대로 좋은 평가를 받고 있습니다.",스탠다드 룸,도미인만의 시그니처 베딩 시스템으로 최상의 숙면을 제공합니다. 투숙객 전용 대욕장 시설과 야식 라면(요나키소바) 서비스로 일본 현지의 감성을 서울 강남 한복판에서 느껴보세요.,2,5,컴포트 더블,"실용적인 공간 활용이 돋보이는 객실로, 비즈니스 출장객에게 최적화된 업무 데스크와 편안한 휴식 공간을 동시에 갖추고 있습니다",2,5,dominn@gmail.com
쉐라톤 강남,4,420000,1500000,서울특별시 강남구 신사동 603,127.022779,37.518146,"세련된 분위기와 안정적인 서비스를 갖춘 4성급 호텔입니다.
강남 도산대로 인근에 있어 쇼핑과 이동이 편리합니다.
현대적인 객실과 피트니스, 레스토랑 등 편의시설을 제공합니다.
비즈니스 출장과 도심 여행 모두에 잘 어울리는 숙소입니다.
편안한 객실과 브랜드 신뢰도가 강점인 호텔입니다.",슈페리어 킹,최고급 킹사이즈 침대와 모던하고 세련된 인테리어가 돋보이는 객실입니다. 넓은 창을 통해 들어오는 채광이 하루의 피로를 부드럽게 씻어줍니다.,2,5,이그제큐티브 스위트,침실과 거실이 완벽하게 분리된 여유로운 구조의 프리미엄 스위트룸입니다. 최고급 어메니티와 전용 라운지 혜택이 포함되어 최상의 VIP 서비스를 제공합니다.,3,1,sheraton@gmail.com
힐튼 가든 인 강남,4,198000,290000,서울특별시 서초구 서초동 1327-34,127.03321,37.485524,"강남 중심에 위치한 글로벌 호텔 브랜드의 세련된 비즈니스 호텔입니다.
현대적인 객실과 편안한 침구로 쾌적한 숙박 환경을 제공합니다.
비즈니스 여행객을 위한 업무 공간과 편의시설이 잘 갖춰져 있습니다.
강남 주요 상업지구와 교통 접근성이 뛰어나 이동이 편리합니다.
합리적인 가격과 안정적인 서비스가 특징인 호텔입니다.",스탠다드 룸,모던한 인테리어와 넓은 킹 사이즈 침대가 완벽한 휴식을 선사합니다. 강남의 역동적인 도심 뷰와 함께 루프탑 수영장 이용 혜택으로 특별한 시티 바캉스를 즐겨보세요.,2,5,디럭스 킹,탁 트인 도심의 화려한 스카이라인과 야경을 한눈에 감상할 수 있는 고층 객실입니다. 도심 한가운데서 즐기는 로맨틱하고 특별한 하루를 선사합니다,2,5,hiltonGarden@gmail.com
호텔 그레이스 리,3,110000,170000,서울특별시 중구 남대문로4가 17-1,126.979494,37.562227,"편안한 분위기와 합리적인 가격이 특징인 도심 호텔입니다.
서울 주요 관광지와 가까워 여행객에게 편리한 위치를 제공합니다.
깔끔하고 아늑한 객실에서 편안한 휴식을 즐길 수 있습니다.
주변에 다양한 식당과 편의시설이 있어 이용이 편리합니다.
가성비 좋은 숙소를 찾는 여행객에게 적합한 호텔입니다.",스탠다드 룸,합리적인 가격으로 해운대 수평선을 감상할 수 있는 실속형 객실입니다. 엄선된 어메니티와 미니멀한 인테리어가 쾌적한 여행의 즐거움을 더해줍니다,2,5,컴포트 더블,"실용적인 공간 활용이 돋보이는 객실로, 비즈니스 출장객에게 최적화된 업무 데스크와 편안한 휴식 공간을 동시에 갖추고 있습니다",2,5,gracelee@gmail.com
서울 신라 호텔,5,610000,1800000,서울특별시 중구 장충동2가 202,127.005213,37.556687,"세계적인 수준의 서비스와 품격을 갖춘 서울 대표 럭셔리 호텔입니다.
남산 자락에 위치해 아름다운 도심 전망을 즐길 수 있습니다.
고급 레스토랑과 스파, 수영장 등 다양한 부대시설을 제공합니다.
비즈니스와 휴식을 모두 만족시키는 최고급 서비스를 경험할 수 있습니다.
특별한 여행과 기념일에 어울리는 프리미엄 호텔입니다.",프리미어 시티뷰,탁 트인 도심의 화려한 스카이라인과 야경을 한눈에 감상할 수 있는 고층 객실입니다. 도심 한가운데서 즐기는 로맨틱하고 특별한 하루를 선사합니다.,2,5,이그제큐티브 비즈니스 디럭스,"국빈을 모시는 마음으로 준비된 고품격 스위트입니다. 독립된 거실과 침실, 그리고 세심한 버틀러 서비스가 진정한 럭셔리 휴식을 완성합니다",3,2,shilla@gmail.com
세종 호텔,4,215000,510000,서울특별시 중구 충무로2가 61-3,126.986239,37.561403,"명동 중심에 위치한 오랜 전통의 호텔입니다.
지하철과 관광지 접근성이 뛰어나 여행객에게 편리합니다.
넓고 편안한 객실에서 여유로운 휴식을 즐길 수 있습니다.
주변에 쇼핑과 맛집이 많아 다양한 즐길 거리가 있습니다.
서울 도심 여행을 위한 실용적인 숙소입니다.",스탠다드 룸,명동 중심가와 남산타워가 한눈에 들어오는 탁 트인 조망을 자랑합니다. 비즈니스와 관광 모두를 위한 최적의 동선과 안락한 업무 환경을 제공합니다,2,5,프리미어 시티뷰,탁 트인 도심의 화려한 스카이라인과 야경을 한눈에 감상할 수 있는 고층 객실입니다. 도심 한가운데서 즐기는 로맨틱하고 특별한 하루를 선사합니다.,2,5,sejong@gmail.com
Courtyard by Marriott,4,300000,600000,서울특별시 중구 남대문로4가 17-5,126.973711,37.561738,"메리어트 계열의 신뢰도 높은 글로벌 호텔 브랜드입니다.
현대적인 객실과 세련된 인테리어로 편안한 숙박을 제공합니다.
비즈니스 여행객을 위한 업무 공간과 편의시설이 잘 갖춰져 있습니다.
레스토랑과 피트니스 센터 등 다양한 서비스를 이용할 수 있습니다.
안정적인 서비스와 편안함을 동시에 제공하는 호텔입니다",스탠다드 룸,산타워나 명동 성당 등 서울의 랜드마크가 내려다보이는 환상적인 조망을 제공합니다. 메리어트만의 글로벌 스탠다드 서비스와 함께 명동의 활기를 가장 가까이서 경험해 보세요.,2,5,이그제큐티브 스위트,침실과 거실이 완벽하게 분리된 여유로운 구조의 프리미엄 스위트룸입니다. 최고급 어메니티와 전용 라운지 혜택이 포함되어 최상의 VIP 서비스를 제공합니다.,3,1,courtyard@gmail.com
아미드 호텔,4,80000,130000,서울특별시 종로구 관훈동 198-42,126.985573,37.574199,"전통과 현대적인 감각이 조화를 이루는 도심 호텔입니다.
종로와 인사동 인근에 위치해 관광과 이동이 편리합니다.
세련된 객실과 편안한 분위기로 휴식을 제공합니다.
한국적인 감성을 느낄 수 있는 인테리어가 특징입니다.
서울 문화 관광을 즐기기에 좋은 위치의 호텔입니다",스탠다드 룸,탁 트인 도심의 화려한 스카이라인과 야경을 한눈에 감상할 수 있는 고층 객실입니다. 도심 한가운데서 즐기는 로맨틱하고 특별한 하루를 선사합니다.,2,5,수피리어 퀸룸,"실용적인 공간 활용이 돋보이는 객실로, 비즈니스 출장객에게 최적화된 업무 데스크와 편안한 휴식 공간을 동시에 갖추고 있습니다",2,5,amidhotel@gmail.com
